epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,112.166,1.90698,2.49664,2.47971,0.33328,0.62297,0.44517,0.18632,1.87853,2.4953,2.63042,0.00113898,0.00113898,0.00113898
43,114.697,1.91203,2.44724,2.47096,0.58611,0.36502,0.44728,0.21251,1.69323,2.43575,2.50668,0.00113191,0.00113191,0.00113191
44,117.299,1.92565,2.41513,2.44996,0.41166,0.386,0.42372,0.16152,1.8753,2.60839,2.6717,0.00112484,0.00112484,0.00112484
45,119.849,1.92361,2.48067,2.46483,0.50812,0.52116,0.48582,0.1991,1.88794,2.56739,2.61994,0.00111776,0.00111776,0.00111776
46,122.393,1.85631,2.38982,2.40687,0.51249,0.53366,0.55898,0.23188,1.88675,2.30863,2.60845,0.00111069,0.00111069,0.00111069
47,125.007,1.87015,2.47162,2.43411,0.58325,0.4924,0.53433,0.22028,1.89349,2.31956,2.63891,0.00110362,0.00110362,0.00110362
48,127.537,1.90754,2.39507,2.42897,0.60657,0.49346,0.53286,0.23146,1.77822,2.2567,2.54141,0.00109654,0.00109654,0.00109654
49,130.075,1.85321,2.28588,2.36408,0.41835,0.51958,0.52179,0.19911,1.8347,2.13645,2.61581,0.00108947,0.00108947,0.00108947
50,132.641,1.87998,2.36076,2.42157,0.43424,0.55006,0.524,0.21136,1.83417,2.19083,2.58407,0.0010824,0.0010824,0.0010824
51,135.178,1.83331,2.32048,2.3928,0.44035,0.60959,0.51808,0.21736,1.88014,2.40399,2.60818,0.00107532,0.00107532,0.00107532
52,137.691,1.86306,2.29044,2.41165,0.45894,0.65382,0.59749,0.26823,1.69288,2.10038,2.42916,0.00106825,0.00106825,0.00106825
53,140.244,1.8474,2.29869,2.41963,0.41173,0.50913,0.37358,0.12291,1.89052,2.49097,2.66901,0.00106118,0.00106118,0.00106118
54,142.775,1.8254,2.22899,2.41953,0.41787,0.5321,0.49761,0.18427,1.99449,2.25645,2.77697,0.0010541,0.0010541,0.0010541
55,145.334,1.78505,2.22384,2.33742,0.58747,0.52216,0.60787,0.28918,1.7171,1.91142,2.50131,0.00104703,0.00104703,0.00104703
56,147.873,1.87346,2.294,2.39854,0.73018,0.56987,0.68938,0.35751,1.6845,1.83724,2.4441,0.00103995,0.00103995,0.00103995
57,150.422,1.81787,2.17609,2.34462,0.67974,0.51893,0.68983,0.32883,1.68689,1.83007,2.45519,0.00103288,0.00103288,0.00103288
58,152.939,1.76892,2.17282,2.33492,0.68326,0.53625,0.64187,0.28292,1.76059,1.94247,2.51314,0.00102581,0.00102581,0.00102581
59,155.466,1.7283,2.0923,2.2922,0.50935,0.6045,0.63637,0.29,1.70186,2.48726,2.497,0.00101873,0.00101873,0.00101873
60,157.983,1.74807,2.13699,2.30845,0.75581,0.54718,0.67913,0.31842,1.78176,2.16992,2.58199,0.00101166,0.00101166,0.00101166
61,160.481,1.78147,2.19827,2.31816,0.87052,0.57569,0.72758,0.33641,1.63239,1.91846,2.41321,0.00100459,0.00100459,0.00100459
62,163.136,1.72243,2.14556,2.27521,0.73742,0.62876,0.72067,0.33565,1.65008,2.17329,2.39741,0.000997513,0.000997513,0.000997513
63,165.786,1.73965,2.07017,2.29548,0.70006,0.60671,0.68398,0.33375,1.68049,2.23745,2.49094,0.00099044,0.00099044,0.00099044
64,168.317,1.7153,2.12794,2.25173,0.70433,0.64995,0.70504,0.36943,1.57418,1.81522,2.38077,0.000983366,0.000983366,0.000983366
65,170.832,1.70367,2.04148,2.23887,0.61154,0.74237,0.7097,0.29952,1.67746,1.78432,2.44052,0.000976293,0.000976293,0.000976293
66,173.392,1.66008,1.96841,2.19264,0.68753,0.65847,0.77818,0.37529,1.584,1.83081,2.3022,0.000969219,0.000969219,0.000969219
67,175.952,1.71464,2.08646,2.22134,0.79392,0.58911,0.72221,0.34466,1.62652,1.89536,2.41086,0.000962146,0.000962146,0.000962146
68,178.487,1.66441,1.92582,2.19541,0.70988,0.57997,0.72836,0.34569,1.63426,1.91287,2.40962,0.000955072,0.000955072,0.000955072
69,181.042,1.64453,1.97582,2.1757,0.64771,0.68073,0.77391,0.37334,1.61751,1.95076,2.36994,0.000947999,0.000947999,0.000947999
70,183.529,1.66689,1.89301,2.1975,0.7742,0.67852,0.79979,0.37773,1.58638,1.75667,2.29987,0.000940925,0.000940925,0.000940925
71,186.077,1.60837,1.8935,2.17423,0.75035,0.67994,0.75334,0.34832,1.65894,1.78564,2.37731,0.000933851,0.000933851,0.000933851
72,188.601,1.70352,1.88768,2.20413,0.72952,0.60967,0.74852,0.38122,1.63575,1.66384,2.40973,0.000926778,0.000926778,0.000926778
73,191.101,1.61603,1.96728,2.20223,0.75147,0.62973,0.74857,0.39714,1.66138,1.61179,2.39385,0.000919704,0.000919704,0.000919704
74,193.668,1.62646,1.86603,2.17626,0.63688,0.60821,0.71868,0.39324,1.59791,1.59332,2.38428,0.000912631,0.000912631,0.000912631
75,196.204,1.62178,1.83776,2.1552,0.76133,0.60959,0.73034,0.36778,1.56138,1.84234,2.29639,0.000905557,0.000905557,0.000905557
76,198.73,1.64363,1.89293,2.1684,0.63258,0.68267,0.73495,0.38853,1.54999,1.68023,2.34921,0.000898484,0.000898484,0.000898484
77,201.262,1.63235,1.93649,2.18549,0.72053,0.65098,0.6942,0.3396,1.63277,1.79882,2.45646,0.00089141,0.00089141,0.00089141
78,203.788,1.56458,1.95759,2.16573,0.76902,0.6847,0.81165,0.45253,1.51258,1.58288,2.26745,0.000884337,0.000884337,0.000884337
79,206.311,1.63744,1.85972,2.17612,0.76977,0.74192,0.80032,0.44555,1.54168,1.44396,2.2633,0.000877263,0.000877263,0.000877263
80,208.851,1.5669,1.81498,2.14121,0.78045,0.67195,0.75014,0.42163,1.57197,1.45077,2.33437,0.00087019,0.00087019,0.00087019
81,211.448,1.56885,1.99687,2.18447,0.81183,0.68978,0.79335,0.45484,1.50953,1.35384,2.27614,0.000863116,0.000863116,0.000863116
82,213.939,1.55719,1.83926,2.15248,0.67081,0.78881,0.8057,0.43654,1.51917,1.37214,2.24955,0.000856042,0.000856042,0.000856042
83,216.463,1.55183,1.84317,2.1316,0.76645,0.64443,0.78098,0.40865,1.59046,1.4237,2.31451,0.000848969,0.000848969,0.000848969
84,219.023,1.55256,1.81931,2.11696,0.82287,0.70872,0.81572,0.45988,1.57978,1.38248,2.30058,0.000841895,0.000841895,0.000841895
85,221.505,1.55475,1.82895,2.11624,0.78489,0.74025,0.81343,0.46981,1.47533,1.32365,2.19959,0.000834822,0.000834822,0.000834822
86,224.046,1.57923,1.84913,2.15262,0.75341,0.73198,0.82721,0.49982,1.41111,1.35552,2.15563,0.000827748,0.000827748,0.000827748
87,226.575,1.55049,1.88562,2.12872,0.84407,0.63501,0.777,0.45709,1.48053,1.49381,2.22578,0.000820675,0.000820675,0.000820675
88,229.087,1.5377,1.77383,2.07719,0.74479,0.67043,0.77086,0.41929,1.50658,1.61899,2.25784,0.000813601,0.000813601,0.000813601
89,231.627,1.49454,1.76184,2.05181,0.71856,0.74767,0.7885,0.46861,1.4113,1.40289,2.15478,0.000806528,0.000806528,0.000806528
90,234.23,1.4884,1.6364,2.03976,0.78648,0.74335,0.81718,0.47179,1.43024,1.33505,2.15273,0.000799454,0.000799454,0.000799454
91,236.772,1.53871,1.68776,2.09364,0.80011,0.76009,0.82122,0.45104,1.49582,1.36577,2.24328,0.00079238,0.00079238,0.00079238
92,239.328,1.53293,1.66199,2.09387,0.74182,0.7707,0.84996,0.46207,1.58556,1.38648,2.33667,0.000785307,0.000785307,0.000785307
93,241.834,1.53952,1.70177,2.06519,0.81913,0.83498,0.88652,0.53796,1.43882,1.18753,2.1354,0.000778233,0.000778233,0.000778233
94,244.358,1.48503,1.66276,2.05029,0.88659,0.76638,0.88009,0.52489,1.43497,1.16085,2.16589,0.00077116,0.00077116,0.00077116
95,246.899,1.42039,1.58395,1.97721,0.7701,0.80792,0.87005,0.50129,1.53241,1.25907,2.22844,0.000764086,0.000764086,0.000764086
96,249.403,1.49236,1.61942,2.01931,0.81525,0.73511,0.86338,0.52863,1.38268,1.17932,2.15176,0.000757013,0.000757013,0.000757013
97,252.396,1.50013,1.63592,2.00072,0.68902,0.77577,0.82783,0.49657,1.4064,1.20938,2.1894,0.000749939,0.000749939,0.000749939
98,255.216,1.46188,1.62951,2.0052,0.82388,0.76517,0.86117,0.5138,1.41677,1.17609,2.11498,0.000742866,0.000742866,0.000742866
99,257.884,1.4204,1.53022,2.00185,0.80818,0.81528,0.85714,0.50195,1.42021,1.22263,2.13741,0.000735792,0.000735792,0.000735792
100,260.438,1.50074,1.67293,2.07827,0.83239,0.75766,0.84755,0.49459,1.39676,1.25646,2.12521,0.000728719,0.000728719,0.000728719
101,263.042,1.48273,1.62745,2.04138,0.85017,0.74445,0.85655,0.49626,1.35489,1.24964,2.10232,0.000721645,0.000721645,0.000721645
102,265.678,1.47615,1.67292,2.01468,0.76035,0.83074,0.86994,0.54024,1.34216,1.3128,2.03427,0.000714571,0.000714571,0.000714571
103,268.244,1.45842,1.65141,2.01599,0.82715,0.84385,0.87624,0.55137,1.32205,1.22514,1.99919,0.000707498,0.000707498,0.000707498
104,270.794,1.45582,1.59314,1.97249,0.84821,0.84317,0.87835,0.57325,1.35261,1.16621,2.03405,0.000700424,0.000700424,0.000700424
105,273.347,1.45516,1.5773,2.02723,0.80819,0.83368,0.87561,0.54333,1.35704,1.15311,2.04942,0.000693351,0.000693351,0.000693351
106,275.891,1.45103,1.62563,2.01531,0.8855,0.80819,0.89529,0.53574,1.37793,1.22785,2.0896,0.000686277,0.000686277,0.000686277
107,278.471,1.43735,1.60701,1.97722,0.82606,0.83229,0.90341,0.57405,1.27347,1.13452,1.97153,0.000679204,0.000679204,0.000679204
108,281.013,1.39556,1.5402,1.92559,0.83565,0.83316,0.91852,0.60112,1.23448,1.08112,1.91175,0.00067213,0.00067213,0.00067213
109,283.565,1.52845,1.63484,2.03296,0.90927,0.77921,0.8868,0.57233,1.33586,1.18426,2.02506,0.000665057,0.000665057,0.000665057
110,286.113,1.43698,1.58172,1.9554,0.86426,0.7948,0.88055,0.5566,1.38976,1.14151,2.10081,0.000657983,0.000657983,0.000657983
111,288.612,1.36792,1.45522,1.91218,0.81343,0.76803,0.86752,0.54221,1.40366,1.10456,2.08976,0.000650909,0.000650909,0.000650909
112,291.15,1.43835,1.58424,1.96788,0.76725,0.86379,0.88644,0.55332,1.38722,1.19281,2.12424,0.000643836,0.000643836,0.000643836
113,293.679,1.45298,1.60655,2.01441,0.89773,0.81814,0.93028,0.56764,1.36243,1.1254,2.10657,0.000636762,0.000636762,0.000636762
114,296.208,1.36414,1.45678,1.92648,0.89889,0.85515,0.93192,0.59914,1.27192,1.0679,2.02342,0.000629689,0.000629689,0.000629689
115,298.793,1.4171,1.51806,1.95725,0.8094,0.87681,0.91058,0.54346,1.37521,1.09745,2.13759,0.000622615,0.000622615,0.000622615
116,301.358,1.41796,1.5253,1.99392,0.92163,0.82829,0.91528,0.60813,1.2555,1.05649,2.00853,0.000615542,0.000615542,0.000615542
117,304.008,1.41099,1.48129,1.98907,0.91949,0.80316,0.92847,0.61824,1.19694,1.00983,1.88974,0.000608468,0.000608468,0.000608468
118,306.597,1.42002,1.48763,1.95943,0.89617,0.87971,0.91819,0.58805,1.21669,1.10174,1.94094,0.000601395,0.000601395,0.000601395
119,309.132,1.36908,1.49879,1.92557,0.90269,0.88968,0.9292,0.63182,1.2347,1.03602,1.93183,0.000594321,0.000594321,0.000594321
120,311.676,1.39362,1.46375,1.92637,0.87469,0.86582,0.92135,0.61352,1.25184,0.98558,1.92356,0.000587248,0.000587248,0.000587248
121,314.339,1.44117,1.4874,1.95495,0.93845,0.78233,0.91101,0.61094,1.25857,1.00446,1.9473,0.000580174,0.000580174,0.000580174
122,316.862,1.4033,1.5013,1.91301,0.91524,0.82641,0.90735,0.61965,1.22826,1.02717,1.93948,0.0005731,0.0005731,0.0005731
123,319.4,1.2994,1.44451,1.84314,0.93548,0.86599,0.92747,0.60891,1.2011,1.00001,1.86288,0.000566027,0.000566027,0.000566027
