epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6199,2.97296,3.95498,4.2015,0.00285,0.55085,0.00618,0.00221,2.53543,3.94978,4.15716,0.00015719,0.00015719,0.00015719
2,91.4566,3.01564,3.85398,4.16573,0.0044,0.69774,0.02359,0.00818,2.53759,3.94505,4.14774,0.000328019,0.000328019,0.000328019
3,132.169,3.02067,3.89731,4.14562,0.00446,0.70339,0.02702,0.0067,2.5414,3.94147,4.1267,0.000498169,0.000498169,0.000498169
4,172.327,2.9346,3.82165,4.08503,0.00431,0.69209,0.02674,0.00598,2.53056,3.9125,4.09032,0.000667641,0.000667641,0.000667641
5,212.179,2.95522,3.73567,3.97528,0.00323,0.57345,0.03756,0.01033,2.54452,3.86225,4.02069,0.000836433,0.000836433,0.000836433
6,254.563,3.01628,3.69117,3.86661,0.00498,0.76813,0.07164,0.0132,2.61003,3.89552,3.79741,0.00100455,0.00100455,0.00100455
7,300.29,2.99159,3.64007,3.7767,0.00453,0.69543,0.02778,0.00637,2.75972,3.66653,3.90542,0.00117198,0.00117198,0.00117198
8,346.571,2.97342,3.57077,3.67819,0.35156,0.32279,0.02667,0.00686,2.74169,6.74935,4.483,0.00133873,0.00133873,0.00133873
9,392.479,2.90691,3.51599,3.59853,0.0191,0.45075,0.03297,0.0089,2.86652,22.4358,4.53348,0.00140636,0.00140636,0.00140636
10,437.944,2.88835,3.3856,3.52713,0.37402,0.23917,0.03137,0.00671,2.96243,11.0914,4.36659,0.00140354,0.00140354,0.00140354
11,484.045,2.7965,3.4971,3.49319,0.73178,0.11111,0.08833,0.01878,2.99068,11.7036,4.03593,0.00140071,0.00140071,0.00140071
12,530.546,2.8218,3.41883,3.45693,0.34979,0.04444,0.02292,0.00547,2.83,7.06021,3.62758,0.00139788,0.00139788,0.00139788
13,576.699,2.77589,3.39884,3.37972,0.42322,0.19648,0.06693,0.01357,2.73962,7.27192,3.58069,0.00139505,0.00139505,0.00139505
14,623.057,2.70127,3.39821,3.32665,0.38046,0.26667,0.07625,0.01779,2.63031,18.4992,3.42966,0.00139222,0.00139222,0.00139222
15,669.529,2.72283,3.36893,3.30923,0.41531,0.24722,0.11496,0.02806,2.61859,6.88629,3.40806,0.00138939,0.00138939,0.00138939
16,716.07,2.71391,3.40322,3.29346,0.10111,0.34185,0.11558,0.0305,2.60182,4.98022,3.27743,0.00138656,0.00138656,0.00138656
17,762.644,2.65999,3.34465,3.2274,0.06974,0.19788,0.06866,0.01668,3.01033,6.21748,3.56957,0.00138373,0.00138373,0.00138373
18,808.96,2.58837,3.29589,3.2129,0.08718,0.375,0.16229,0.03593,2.69162,5.43105,3.30345,0.0013809,0.0013809,0.0013809
