epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,856.86,2.58831,3.2943,3.15152,0.17077,0.28056,0.16711,0.04906,2.6529,7.17009,3.26681,0.00137807,0.00137807,0.00137807
20,903.619,2.51831,3.18666,3.0843,0.19658,0.32373,0.12433,0.03606,2.69088,9.7211,3.2644,0.00137524,0.00137524,0.00137524
21,950.247,2.48277,3.12762,3.06093,0.19708,0.47392,0.14486,0.03517,2.49652,9.11234,3.18579,0.00137241,0.00137241,0.00137241
22,997.006,2.50307,3.21533,3.06756,0.18845,0.42599,0.15485,0.03941,2.34272,6.977,3.05545,0.00136958,0.00136958,0.00136958
23,1043.66,2.43135,3.07491,3.01691,0.17889,0.18881,0.14315,0.03937,2.36191,6.52304,3.05344,0.00136675,0.00136675,0.00136675
24,1090.09,2.4518,3.06158,2.96256,0.22762,0.31177,0.18101,0.0579,2.25816,5.06818,2.99737,0.00136392,0.00136392,0.00136392
25,1136.33,2.44635,3.06074,2.96504,0.24679,0.31509,0.28182,0.08753,2.25842,3.90366,3.00306,0.00136109,0.00136109,0.00136109
26,1177.61,2.33502,3.07935,2.92872,0.32295,0.30697,0.25463,0.09238,2.3336,3.49256,3.13757,0.00135826,0.00135826,0.00135826
27,1217.24,2.35646,3.01331,2.9593,0.39739,0.36723,0.22303,0.08117,2.2495,4.20492,3.06954,0.00135544,0.00135544,0.00135544
28,1256.7,2.3302,3.1232,2.91814,0.26306,0.35372,0.2001,0.06399,2.26687,3.50511,3.15403,0.00135261,0.00135261,0.00135261
29,1296.57,2.26587,3.0721,2.8814,0.29853,0.44862,0.22304,0.07744,2.13361,3.25546,2.99046,0.00134978,0.00134978,0.00134978
30,1336.3,2.27028,2.91254,2.86345,0.27873,0.54614,0.30343,0.1096,2.02305,4.26985,2.92447,0.00134695,0.00134695,0.00134695
31,1376.01,2.19925,2.84584,2.79235,0.34757,0.49068,0.37932,0.12332,1.90187,3.26132,2.77595,0.00134412,0.00134412,0.00134412
32,1418.86,2.13442,2.86988,2.75615,0.26842,0.31521,0.30716,0.11047,2.03183,3.28686,2.85623,0.00134129,0.00134129,0.00134129
33,1464.68,2.16096,2.76115,2.75849,0.61562,0.25297,0.30791,0.10992,1.89576,4.08559,2.71448,0.00133846,0.00133846,0.00133846
34,1510.1,2.16093,2.80071,2.7461,0.56153,0.32671,0.24065,0.08453,1.91737,3.41785,2.84148,0.00133563,0.00133563,0.00133563
35,1555.21,2.15973,2.81512,2.71079,0.34984,0.45944,0.3332,0.11588,1.92895,2.74346,2.97907,0.0013328,0.0013328,0.0013328
36,1600.3,2.09053,2.76421,2.64503,0.2866,0.3881,0.31023,0.10208,2.03155,2.88329,2.94411,0.00132997,0.00132997,0.00132997
37,1645.58,2.06537,2.79738,2.67641,0.31029,0.39236,0.31079,0.11158,2.03689,2.54926,2.92127,0.00132714,0.00132714,0.00132714
38,1691.09,2.05776,2.77812,2.63146,0.31461,0.41144,0.35022,0.11439,1.88885,2.66227,2.77249,0.00132431,0.00132431,0.00132431
39,1737,2.10124,2.73858,2.68911,0.36877,0.49389,0.32163,0.1141,1.89036,2.64698,2.7334,0.00132148,0.00132148,0.00132148
40,1782.94,2.05295,2.63554,2.6201,0.22236,0.44233,0.27736,0.10744,1.89051,2.99191,2.75071,0.00131865,0.00131865,0.00131865
41,1828.62,2.07931,2.62265,2.61015,0.38373,0.56266,0.45167,0.16782,2.09275,3.37236,2.95353,0.00131582,0.00131582,0.00131582
42,1874.7,2.0524,2.61769,2.59118,0.28767,0.5326,0.38548,0.13568,1.90071,3.03075,2.86357,0.00131299,0.00131299,0.00131299
43,1920.72,2.02972,2.59949,2.57861,0.18722,0.42442,0.31014,0.10487,1.80565,2.90899,2.77872,0.00131016,0.00131016,0.00131016
44,1967.9,1.99815,2.61267,2.59419,0.79212,0.23785,0.38789,0.14279,1.87129,2.65554,2.73876,0.00130733,0.00130733,0.00130733
45,2011.17,1.96777,2.4867,2.54803,0.43135,0.57651,0.37038,0.12493,1.86734,2.49252,2.73564,0.00130451,0.00130451,0.00130451
46,2053.42,2.04314,2.50105,2.59049,0.33658,0.5371,0.39864,0.14879,1.8932,2.38197,2.74386,0.00130168,0.00130168,0.00130168
47,2096.78,1.92981,2.47452,2.50514,0.33044,0.6192,0.37068,0.14304,1.74965,2.42541,2.60629,0.00129885,0.00129885,0.00129885
48,2136.03,1.96765,2.4716,2.51227,0.2558,0.69115,0.3355,0.1262,1.89454,2.87662,2.75368,0.00129602,0.00129602,0.00129602
49,2175.73,1.80017,2.40427,2.45149,0.51622,0.53416,0.45461,0.17839,1.89206,2.70835,2.74787,0.00129319,0.00129319,0.00129319
50,2260.74,1.96194,2.44373,2.49822,0.44703,0.51993,0.41732,0.18376,1.84195,2.62136,2.71859,0.00129036,0.00129036,0.00129036
51,2337.19,1.88799,2.39458,2.46524,0.3644,0.55042,0.39121,0.1365,1.77114,3.00771,2.60149,0.00128753,0.00128753,0.00128753
