epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64673,3.17375,3.97886,4.25442,0.00283,0.55085,0.00388,0.00136,2.53535,3.29582,4.15795,0.00015719,0.00015719,0.00015719
2,16.3802,2.97428,3.90115,4.18013,0.00366,0.61864,0.00653,0.00224,2.53776,3.27819,4.14734,0.000328019,0.000328019,0.000328019
3,20.7906,3.04552,3.86784,4.13169,0.00366,0.61864,0.00568,0.00198,2.55363,3.24889,4.12107,0.000498169,0.000498169,0.000498169
4,24.9427,3.02124,3.81192,4.0809,0.00394,0.64948,0.0087,0.00275,2.57717,3.2201,4.06585,0.000667641,0.000667641,0.000667641
5,29.1619,3.01364,3.66133,3.9565,0.00467,0.71497,0.03005,0.00771,2.73159,3.32378,3.96149,0.000836433,0.000836433,0.000836433
6,33.2897,2.99113,3.65922,3.85132,0.00421,0.59553,0.01462,0.00416,3.0136,3.53099,3.98704,0.00100455,0.00100455,0.00100455
7,37.3893,2.94604,3.64526,3.75313,0.34238,0.27307,0.01794,0.00441,2.97986,6.18211,4.12209,0.00117198,0.00117198,0.00117198
8,42.7891,2.93152,3.55388,3.68079,0.67596,0.02825,0.01991,0.00442,2.98649,5.76401,4.15759,0.00133873,0.00133873,0.00133873
9,46.2828,2.83855,3.51264,3.58374,0.0068,0.63319,0.01767,0.00369,2.98496,17.9759,4.11245,0.00140636,0.00140636,0.00140636
10,48.9547,2.777,3.51518,3.50303,0.00548,0.82914,0.04818,0.00779,2.8989,6.32615,3.88685,0.00140354,0.00140354,0.00140354
11,51.6366,2.69482,3.4547,3.40576,0.35791,0.08399,0.02771,0.00574,2.97444,12.2939,4.35892,0.00140071,0.00140071,0.00140071
12,54.2582,2.67919,3.40185,3.34469,0.37448,0.07834,0.03155,0.00744,2.94884,15.6102,4.16042,0.00139788,0.00139788,0.00139788
13,56.9095,2.71804,3.4211,3.30112,0.1038,0.42001,0.14453,0.05024,2.75774,13.302,3.72303,0.00139505,0.00139505,0.00139505
14,59.5855,2.6009,3.39482,3.25257,0.07878,0.42463,0.07994,0.0222,2.71175,8.95087,3.60367,0.00139222,0.00139222,0.00139222
15,62.2911,2.65829,3.28553,3.23784,0.07706,0.44576,0.07359,0.02393,2.60535,14.2663,3.37966,0.00138939,0.00138939,0.00138939
16,65.0708,2.61213,3.32537,3.2041,0.06029,0.54115,0.0577,0.01737,2.40299,13.0993,3.25799,0.00138656,0.00138656,0.00138656
17,67.9699,2.52641,3.31788,3.14855,0.38413,0.08838,0.09187,0.02922,2.49742,7.49865,3.26002,0.00138373,0.00138373,0.00138373
